row_id,question,gold_entities,predicted_entities,exact,confidence,fallback_used,probabilities
120,Show me all webint data containing the word 'vacation' posted by profiles who lives in New York,"[""Web Activity"", ""Web Actor""]","[""Web Actor""]",False,0.5244807004928589,False,"{""CDR"": 0.058456625789403915, ""EVisa Request"": 0.017580926418304443, ""Insight"": 0.030407298356294632, ""Investigation"": 0.012895988300442696, ""Person"": 0.03555732220411301, ""Phone"": 0.02192559279501438, ""Report"": 0.05090181529521942, ""Web Activity"": 0.4847590923309326, ""Web Actor"": 0.5244807004928589}"
164,Identify individuals with either 'john' or 'jane' as their first name who have more than 500 followers,"[""Web Actor""]","[""Person""]",False,0.4351326823234558,True,"{""CDR"": 0.020490314811468124, ""EVisa Request"": 0.01162112969905138, ""Insight"": 0.04559662938117981, ""Investigation"": 0.013576828874647617, ""Person"": 0.4351326823234558, ""Phone"": 0.0871490091085434, ""Report"": 0.018021464347839355, ""Web Activity"": 0.07821598649024963, ""Web Actor"": 0.35806167125701904}"
166,What FB posts were made by profiles who attended Harvard University,"[""Web Activity"", ""Web Actor""]","[""Web Actor""]",False,0.8985922932624817,False,"{""CDR"": 0.01628781668841839, ""EVisa Request"": 0.012045553885400295, ""Insight"": 0.02999502420425415, ""Investigation"": 0.014540129341185093, ""Person"": 0.03891584649682045, ""Phone"": 0.041720107197761536, ""Report"": 0.029338346794247627, ""Web Activity"": 0.42255425453186035, ""Web Actor"": 0.8985922932624817}"
168,Find all comments made by female born after 1990.,"[""Web Activity"", ""Web Actor""]","[""Web Actor""]",False,0.31482994556427,True,"{""CDR"": 0.05485424026846886, ""EVisa Request"": 0.010234763845801353, ""Insight"": 0.0420917347073555, ""Investigation"": 0.01242553535848856, ""Person"": 0.18690811097621918, ""Phone"": 0.019153790548443794, ""Report"": 0.03879909962415695, ""Web Activity"": 0.27550017833709717, ""Web Actor"": 0.31482994556427}"
179,Show me all Females with the occupation 'Software Engineer',"[""Person""]","[""Web Actor""]",False,0.2681419551372528,True,"{""CDR"": 0.10317759215831757, ""EVisa Request"": 0.013690623454749584, ""Insight"": 0.02960691787302494, ""Investigation"": 0.0252454224973917, ""Person"": 0.21376484632492065, ""Phone"": 0.02194472774863243, ""Report"": 0.025376416742801666, ""Web Activity"": 0.1550574004650116, ""Web Actor"": 0.2681419551372528}"
204,Who entered the country from Syria between 1 March 2024 and 15 March 2024?,"[""EVisa Request""]","[""CDR""]",False,0.1897440403699875,True,"{""CDR"": 0.1897440403699875, ""EVisa Request"": 0.031064441427588463, ""Insight"": 0.06872420012950897, ""Investigation"": 0.040032532066106796, ""Person"": 0.07859861850738525, ""Phone"": 0.036987319588661194, ""Report"": 0.020941322669386864, ""Web Activity"": 0.06058698147535324, ""Web Actor"": 0.04217623919248581}"
222,Show me negative sentiment posts written by accounts with last name johnson,"[""Web Activity"", ""Web Actor""]","[""Web Activity""]",False,0.3917936682701111,True,"{""CDR"": 0.06243596225976944, ""EVisa Request"": 0.011958365328609943, ""Insight"": 0.052900440990924835, ""Investigation"": 0.015712084248661995, ""Person"": 0.09215368330478668, ""Phone"": 0.018178539350628853, ""Report"": 0.03664948418736458, ""Web Activity"": 0.3917936682701111, ""Web Actor"": 0.384093701839447}"
229,What posts were written by accounts with 1000 followers in the last 30 days?,"[""Web Activity"", ""Web Actor""]","[""Web Activity""]",False,0.6800020337104797,False,"{""CDR"": 0.0732506811618805, ""EVisa Request"": 0.01889408566057682, ""Insight"": 0.03942834958434105, ""Investigation"": 0.02184402197599411, ""Person"": 0.011730230413377285, ""Phone"": 0.02082017809152603, ""Report"": 0.02876375801861286, ""Web Activity"": 0.6800020337104797, ""Web Actor"": 0.4691503047943115}"
256,Show the phones with access calling number +44-20-1234-5678.,"[""Phone""]","[""CDR"", ""Phone""]",False,0.8310063481330872,False,"{""CDR"": 0.659470796585083, ""EVisa Request"": 0.005440293811261654, ""Insight"": 0.008758746087551117, ""Investigation"": 0.01537222508341074, ""Person"": 0.024944718927145004, ""Phone"": 0.8310063481330872, ""Report"": 0.008078527636826038, ""Web Activity"": 0.007990806363523006, ""Web Actor"": 0.01353337150067091}"
271,List all foreign phones that had activity between 2023-09-01 and 2023-11-30,"[""CDR"", ""Phone""]","[""Phone""]",False,0.8112900257110596,False,"{""CDR"": 0.21025319397449493, ""EVisa Request"": 0.012156746350228786, ""Insight"": 0.017887750640511513, ""Investigation"": 0.01714913733303547, ""Person"": 0.01860865205526352, ""Phone"": 0.8112900257110596, ""Report"": 0.014796247705817223, ""Web Activity"": 0.04565543308854103, ""Web Actor"": 0.019671861082315445}"
